crop_id,crop_name,symptom,why_occur,prevention_methods,common_regions,soil_type
1,Tomato,Yellow leaves,"Nitrogen deficiency, overwatering","Soil testing, balanced fertilization, proper watering","Karnataka, Maharashtra","Loamy, Well-drained"
2,Tomato,Black spots,"Fungal infection, high humidity","Apply fungicide, improve air circulation, proper spacing","Karnataka, Tamil Nadu","Well-drained"
3,Tomato,Blossom end rot,"Calcium deficiency, irregular watering","Maintain consistent watering, calcium spray","Andhra Pradesh, Karnataka","Well-drained, pH 6-6.8"
4,Tomato,Wilting,"Fungal infection, root damage","Crop rotation, improve drainage, fungicide treatment","All regions","Well-drained"
5,Tomato,Leaf curl,"Virus, whitefly vectors, environmental stress","Remove infected plants, whitefly control, resistant varieties","Punjab, Haryana","Well-drained"
6,Rice,Leaf blight,"Bacterial infection, crowded plants","Use resistant varieties, proper spacing, balanced fertilization","Andhra Pradesh, Tamil Nadu","Clay, Alluvial"
7,Rice,Blast disease,"Fungal spores, high humidity","Fungicide application, resistant varieties, proper drainage","West Bengal, Odisha","Clay, Loamy"
8,Rice,Stem rot,"Fungal infection, waterlogging","Proper drainage, fungicide treatment, avoid water stagnation","Kerala, Coastal regions","Clay, Alluvial"
9,Rice,Brown spot,"Fungal infection, nutrient deficiency","Balanced fertilization, fungicide, soil health improvement","Uttar Pradesh, Bihar","Alluvial, Clay"
10,Rice,Tungro virus,"Virus, leafhopper vectors","Resistant varieties, insect control, vector management","All rice growing regions","Clay, Loamy"
11,Wheat,Rust,"Fungal spores, moisture, warm conditions","Apply fungicide, crop rotation, resistant varieties","Punjab, Haryana","Well-drained, Loamy"
12,Wheat,Powdery mildew,"Fungal infection, high humidity","Fungicide, proper spacing, resistant varieties, air circulation","Madhya Pradesh, Rajasthan","Well-drained"
13,Wheat,Fusarium head blight,"Fungal infection, wet weather","Crop rotation, fungicide application, proper drainage","Uttar Pradesh, Bihar","Well-drained, Loamy"
14,Wheat,Septoria leaf spot,"Fungal spores, splashing water","Fungicide, remove crop debris, avoid overhead irrigation","All wheat regions","Well-drained"
15,Wheat,Tan spot,"Fungal infection, crop residue","Crop rotation, fungicide, tillage, residue management","North India","Well-drained, Loamy"
16,Maize,Stunted growth,"Nitrogen deficiency, compacted soil","Soil test, add nitrogen fertilizer, proper tillage","Karnataka, Maharashtra","Well-drained, Fertile"
17,Maize,Northern leaf blight,"Fungal infection, humid conditions","Resistant hybrids, crop rotation, fungicide","Bihar, Uttar Pradesh","Well-drained, Loamy"
18,Maize,Common rust,"Fungal spores, moderate temperatures","Resistant varieties, fungicide, proper spacing","Andhra Pradesh, Telangana","Well-drained"
19,Maize,Gray leaf spot,"Fungal infection, warm humid weather","Resistant hybrids, tillage, fungicide application","All maize regions","Well-drained, Fertile"
20,Maize,Root rot,"Fungal infection, poor drainage","Improve drainage, crop rotation, soil treatment","Maharashtra, Karnataka","Well-drained"
21,Cotton,Bollworm,"Insect infestation, flowering stage","IPM practices, timely insecticide, biological control","Maharashtra, Gujarat","Black Cotton, Well-drained"
22,Cotton,Leaf curl virus,"Virus, whitefly vectors","Resistant varieties, whitefly control, reflective mulches","Punjab, Haryana","Black Cotton, Loamy"
23,Cotton,Fusarium wilt,"Fungal infection, soil-borne","Crop rotation, resistant varieties, soil solarization","Andhra Pradesh, Telangana","Black Cotton, Well-drained"
24,Cotton,Root rot,"Fungal infection, waterlogging","Improve drainage, fungicide treatment, raised beds","All cotton regions","Well-drained"
25,Cotton,Whitefly infestation,"Insect attack, dry conditions","Neem oil, insecticide, yellow sticky traps","North India","Black Cotton, Well-drained"
