soil_id,soil_type,crop_name,suitability,advice
1,Black Cotton Soil,Cotton,Very High,"Ideal for cotton, retains moisture well"
2,Black Cotton Soil,Soybean,High,"Well-suited for soybean cultivation"
3,Black Cotton Soil,Sugarcane,High,"Good for sugarcane with proper drainage"
4,Black Cotton Soil,Wheat,Medium,"Needs proper management for wheat"
5,Black Cotton Soil,Pulses,Medium,"Suitable for pulses with amendments"
6,Black Cotton Soil,Rice,Low,"Not ideal for paddy cultivation"
7,Red Soil,Ragi,Very High,"Ideal for ragi cultivation"
8,Red Soil,Groundnut,High,"Good for groundnut with proper nutrients"
9,Red Soil,Millets,High,"Well-suited for various millets"
10,Red Soil,Pulses,High,"Good for pulses cultivation"
11,Red Soil,Cotton,Medium,"Can work with proper amendments"
12,Red Soil,Rice,Low,"Not ideal without proper water management"
13,Red Soil,Coffee,Medium,"Suitable with organic matter addition"
14,Red Soil,Tea,Medium,"Can work with proper management"
15,Alluvial Soil,Rice,Very High,"Perfect for paddy cultivation"
16,Alluvial Soil,Sugarcane,High,"Excellent for sugarcane"
17,Alluvial Soil,Wheat,High,"Ideal for wheat cultivation"
18,Alluvial Soil,Pulses,High,"Good for various pulses"
19,Alluvial Soil,Vegetables,High,"Excellent for vegetable cultivation"
20,Alluvial Soil,Mango,Medium,"Can work with proper care"
21,Alluvial Soil,Maize,High,"Good for maize cultivation"
22,Alluvial Soil,Mustard,High,"Excellent for mustard"
23,Laterite Soil,Cashew,Very High,"Ideal for cashew plantations"
24,Laterite Soil,Coffee,High,"Good for coffee with proper nutrients"
25,Laterite Soil,Tea,High,"Well-suited for tea plantations"
26,Laterite Soil,Rubber,High,"Excellent for rubber cultivation"
27,Laterite Soil,Spices,High,"Good for pepper, cardamom, ginger"
28,Laterite Soil,Coconut,Medium,"Suitable with proper care"
29,Laterite Soil,Rice,Low,"Not suitable for paddy"
30,Laterite Soil,Wheat,Low,"Not ideal for wheat"
31,Clayey Soil,Rice,High,"Good water retention for paddy"
32,Clayey Soil,Sugarcane,Medium,"Needs proper drainage management"
33,Clayey Soil,Wheat,Medium,"Can work with proper tillage"
34,Clayey Soil,Vegetables,Low,"Not ideal for most vegetables"
35,Clayey Soil,Fruits,Low,"Challenging for fruit trees"
36,Clayey Soil,Pulses,Medium,"Can work with amendments"
37,Sandy Soil,Groundnut,High,"Good for groundnut cultivation"
38,Sandy Soil,Millets,High,"Well-suited for millets"
39,Sandy Soil,Pulses,Medium,"Can work with proper water management"
40,Sandy Soil,Coconut,Medium,"Needs frequent irrigation"
41,Sandy Soil,Rice,Very Low,"Poor water retention, not recommended"
42,Sandy Soil,Vegetables,Low,"Not ideal for vegetables"
43,Sandy Soil,Spices,Medium,"Some spices can adapt"
44,Loamy Soil,Most Crops,Very High,"Ideal for most crops, balanced properties"
45,Loamy Soil,Vegetables,Very High,"Perfect for vegetable cultivation"
46,Loamy Soil,Fruits,High,"Excellent for fruit orchards"
47,Loamy Soil,Cereals,High,"Good for cereals cultivation"
48,Loamy Soil,Flowers,High,"Ideal for flower cultivation"
49,Loamy Soil,Spices,High,"Well-suited for spices"
50,Loamy Soil,Plantation,High,"Good for plantation crops"
51,Well-drained Soil,Coffee,Very High,"Essential for coffee plants"
52,Well-drained Soil,Tea,Very High,"Critical for tea plantations"
53,Well-drained Soil,Cardamom,Very High,"Needs well-drained conditions"
54,Well-drained Soil,Rubber,High,"Important for rubber cultivation"
55,Well-drained Soil,Pepper,High,"Good for pepper vines"
56,Well-drained Soil,Fruits,High,"Essential for fruit trees"
57,Well-drained Soil,Rice,Low,"Rice needs waterlogged conditions"
58,Well-drained Soil,Vegetables,High,"Good for most vegetables"
59,Fertile Soil,All Crops,High,"Responds well to rich soil nutrients"
